filterId,filterName,optionName,optionId,ID,synonyms
DESTINATIONS,Destination,La Digue,'000490',83,la digue|la-digue
DESTINATIONS,Destination,Mahe Island,'000491',84,mahe island|mahé island|mahe
DESTINATIONS,Destination,Praslin,'000492',85,praslin|praslin island
DESTINATIONS,Destination,Silhouette Island,'004257',86,silhouette island|silhouette
DESTINATIONS,Destination,South Africa,ZAF,87,south africa
DESTINATIONS,Destination,Cape Town,'001532',88,cape town|capetown
DESTINATIONS,Destination,Tanzania,TZA,89,tanzania
DESTINATIONS,Destination,Zanzibar,'000418',90,zanzibar|zanzibar island
DESTINATIONS,Destination,Bububu,L63504,91,bububu
DESTINATIONS,Destination,Jambiani,L52269,92,jambiani
DESTINATIONS,Destination,Kiwengwa,L52263,93,kiwengwa
DESTINATIONS,Destination,Kizimkazi,L62327,94,kizimkazi|kizimkazi zanzibar
DESTINATIONS,Destination,Mangapwani,L72182,95,mangapwani
DESTINATIONS,Destination,Marumbi,L52282,96,marumbi|marumbi zanzibar
DESTINATIONS,Destination,Matemwe,L63008,97,matemwe
DESTINATIONS,Destination,Michamvi Kae,L72383,98,michamvi kae|michamvi|michamvi kaae
DESTINATIONS,Destination,Nungwi,L52268,99,nungwi
DESTINATIONS,Destination,Paje,L63331,100,paje|paje zanzibar
DESTINATIONS,Destination,Pingwe,L62142,101,pingwe
DESTINATIONS,Destination,Uroa,L69282,102,uroa
DESTINATIONS,Destination,Tunisia,TUN,103,tunisia
DESTINATIONS,Destination,Djerba Island,'007386',104,djerba|djerba island|jerba
DESTINATIONS,Destination,Hammamet,'001216',105,hammamet
DESTINATIONS,Destination,La Goulette (for Tunis),'002741',106,la goulette|la goulette tunis|la goulette (tunis)
DESTINATIONS,Destination,Port El Kantaoui,'000432',107,port el kantaoui|port el-kantaoui|port el kantaoui sousse
DESTINATIONS,Destination,Skanes,'001132',108,skanes|skanes monastir
DESTINATIONS,Destination,Sousse,'000433',109,sousse|sousse tunisia
DESTINATIONS,Destination,Yasmine Hammamet,'002344',110,yasmine hammamet|yasmin hammamet|hammamet yasmine
DESTINATIONS,Destination,Asia,BBB,111,asia|asian holidays|asia trips
DESTINATIONS,Destination,China,CHN,112,china
DESTINATIONS,Destination,Hong Kong,HKG,113,hong kong|hongkong
DESTINATIONS,Destination,India,IND,114,india
DESTINATIONS,Destination,Goa,'001915',115,goa
DESTINATIONS,Destination,South Goa,L00490,116,south goa|southern goa
DESTINATIONS,Destination,Arossim Beach,'002608',117,arossim beach|arossim
DESTINATIONS,Destination,Benaulim,'001948',118,benaulim
DESTINATIONS,Destination,Betalbatim Beach,'002253',119,betalbatim beach|betalbatim
DESTINATIONS,Destination,Cavelossim,'002047',120,cavelossim|cavelossim beach
DESTINATIONS,Destination,Majorda Beach,'002708',121,majorda beach|majorda
DESTINATIONS,Destination,Varca Beach,'001952',122,varca beach|varca
DESTINATIONS,Destination,North Goa,L00489,123,north goa|northern goa
DESTINATIONS,Destination,Arpora,'003869',124,arpora
DESTINATIONS,Destination,Baga,'001917',125,baga|baga beach
DESTINATIONS,Destination,Bambolim,'003842',126,bambolim
DESTINATIONS,Destination,Calangute,'001914',127,calangute|calangute beach
DESTINATIONS,Destination,Candolim,'001361',128,candolim|candolim beach
DESTINATIONS,Destination,Dona Paula,'003843',129,dona paula
DESTINATIONS,Destination,Panjim,'001951',130,panjim|panaji
DESTINATIONS,Destination,Sinquerim,'003844',131,sinquerim|sinquerim beach
DESTINATIONS,Destination,Vagator,L65962,132,vagator|vagator beach
DESTINATIONS,Destination,Indonesia,IDN,133,indonesia
DESTINATIONS,Destination,Bali Beach,L49601,135,bali beach|bali
DESTINATIONS,Destination,Ubud,'002052',136,ubud
DESTINATIONS,Destination,Seminyak,'004272',137,seminyak
DESTINATIONS,Destination,Sanur,'000632',138,sanur
DESTINATIONS,Destination,Lombok,'000635',139,lombok
DESTINATIONS,Destination,Japan,JPN,140,japan
DESTINATIONS,Destination,Furano,L66243,141,furano
DESTINATIONS,Destination,Tomamu,L66302,142,tomamu
DESTINATIONS,Destination,Tokyo,'003471',143,tokyo
DESTINATIONS,Destination,Jordan,JOR,144,jordan
DESTINATIONS,Destination,Malaysia,MYS,145,malaysia
DESTINATIONS,Destination,Maldives,MDV,146,maldives|the maldives
DESTINATIONS,Destination,Oman,OMN,147,oman
DESTINATIONS,Destination,Muscat,L59943,148,muscat
DESTINATIONS,Destination,Saiq,L66045,149,
DESTINATIONS,Destination,Qatar,QAT,150,qatar
DESTINATIONS,Destination,Doha,'003994',151,doha
DESTINATIONS,Destination,Singapore,SGP,152,singapore|singapore city|singapore trip|singapore holiday|visit singapore|singapore vacation|singapura
DESTINATIONS,Destination,South Korea,KOR,153,south korea|korea (south)|republic of korea|s. korea|southkorea|seoul and south korea
DESTINATIONS,Destination,Sri Lanka,LKA,154,sri lanka|srilanka|ceylon|sri lanka holiday|sri lanka vacation|visit sri lanka
DESTINATIONS,Destination,Ahungalla,'001959',155,ahungalla|ahungala
DESTINATIONS,Destination,Batigama,L68103,156,batigama
DESTINATIONS,Destination,Bentota,'001619',157,bentota|bentota beach
DESTINATIONS,Destination,Beruwala,'000379',158,beruwala|beruwela
DESTINATIONS,Destination,Colombo,'001447',159,colombo|colombo city|colombo sri lanka
DESTINATIONS,Destination,Hikkaduwa,'001960',160,hikkaduwa|hikkaduwa beach|hikkaduwa sri lanka|hikaduwa
DESTINATIONS,Destination,Kalutara,'001567',161,kalutara|kalutara beach
DESTINATIONS,Destination,Kuchchaveli,L68263,162,kuchchaveli|kuchchaveli beach|kuchchaveli sri lanka
DESTINATIONS,Destination,Negombo,'001621',163,negombo|negombo beach|negombo sri lanka
DESTINATIONS,Destination,Pasikuda,L68262,164,pasikuda|pasikuda beach|pasikudah
DESTINATIONS,Destination,Trincomalee,'002728',165,trincomalee|trinco|trincomalee sri lanka
DESTINATIONS,Destination,Wadduwa,'001624',166,wadduwa|wadduwa beach
DESTINATIONS,Destination,Waikkal,'001620',167,waikkal|waikkala
DESTINATIONS,Destination,Thailand,THA,168,thailand|thai land|thailand holiday|thailand vacation|visit thailand
DESTINATIONS,Destination,Bangkok,'000424',169,bangkok|bangkok city|bangkok thailand|bkk (bangkok)
DESTINATIONS,Destination,Khao Lak,'002378',170,khao lak|khaolak|khao lak beach
DESTINATIONS,Destination,Phuket,'000428',171,phuket|phuket island|phuket thailand|phuket holiday
DESTINATIONS,Destination,Bang Tao,L27404,172,bang tao|bang tao beach|bangtao|bang tao phuket
DESTINATIONS,Destination,Cape Panwa,CMS084,173,cape panwa|panwa|panwa cape|cape panwa phuket
DESTINATIONS,Destination,Coconut Island,L39461,174,coconut island|coconut island phuket|koh maphrao|ko maphrao
DESTINATIONS,Destination,Kalim Beach,L68564,175,kalim beach|kalim|kalim phuket
DESTINATIONS,Destination,Kamala Beach,L27403,176,kamala beach|kamala|kamala phuket
DESTINATIONS,Destination,Karon Beach,CMS086,177,karon beach|karon|karon phuket
DESTINATIONS,Destination,Kata Beach,CMS087,178,kata beach|kata|kata phuket
DESTINATIONS,Destination,Mai Khao,L27405,179,mai khao|mai khao beach|maikhao|mai khao phuket
DESTINATIONS,Destination,Nai Harn,L42241,180,nai harn|nai harn beach|naiharn|nai harn phuket
DESTINATIONS,Destination,Nai Thon Beach,L27515,181,nai thon beach|nai thon|naithon beach|nai thon phuket
DESTINATIONS,Destination,Nai-Yang Beach,CMS083,182,nai yang beach|nai-yang beach|nai yang|naiyang beach|nai yang phuket
DESTINATIONS,Destination,Natai Beach,L68563,183,natai beach|natai|natai phuket|natai phang nga
DESTINATIONS,Destination,Patong Beach,'001543',184,patong beach|patong|patong phuket
DESTINATIONS,Destination,Phi Phi,'002609',185,phi phi|koh phi phi|ko phi phi|phi phi islands|phiphi
DESTINATIONS,Destination,Surin Beach,L68566,186,surin beach|surin|surin phuket
DESTINATIONS,Destination,Tri Trang Beach,CMS085,187,tri trang beach|tri trang|tritrang beach|tri trang phuket
DESTINATIONS,Destination,Rawai,L71990,188,rawai|rawai beach|rawai phuket
DESTINATIONS,Destination,Krabi,'002096',189,krabi|krabi thailand|krabi province|krabi holiday
DESTINATIONS,Destination,Koh Samui,'002101',190,koh samui|ko samui|samui|kohsamui|samui island
DESTINATIONS,Destination,Hua Hin,'000425',191,hua hin|huahin|hua hin thailand
DESTINATIONS,Destination,Pattaya,'000427',192,pattaya|pattaya beach|pattaya thailand
DESTINATIONS,Destination,Krabi Khao Lak or Phuket,L69205,193,krabi or phuket|phuket or krabi|khao lak or phuket|krabi or khao lak|krabi/khao lak/phuket
DESTINATIONS,Destination,United Arab Emirates,ARE,194,united arab emirates|uae|the emirates|united arab emirate
DESTINATIONS,Destination,Dubai,'001375',195,dubai|dubai city|dubai holiday|visit dubai
DESTINATIONS,Destination,Abu Dhabi,'001372',196,abu dhabi|abudhabi|abu dhabi city
DESTINATIONS,Destination,Ajman,'003987',197,ajman|ajman uae
DESTINATIONS,Destination,Ras Al Khaimah,'001370',198,ras al khaimah|ras al-khaimah|ras al khaima|rak (ras al khaimah)
DESTINATIONS,Destination,UAE Beach,L56663,199,uae beach|beach in uae|uae beach holiday|uae beach resort|emirates beach
DESTINATIONS,Destination,Dubai City,'004020',200,dubai city|dubai downtown|city break dubai|dubai city centre|dubai city center
DESTINATIONS,Destination,Yas Island,L46785,201,yas island|yas island abu dhabi|yas island holiday
DESTINATIONS,Destination,Desert Resort,L68442,202,desert resort|desert hotel|desert retreat|uae desert resort|dubai desert resort|abu dhabi desert resort
DESTINATIONS,Destination,Vietnam,VNM,203,vietnam|viet nam|vietnam holiday|vietnam vacation|visit vietnam
DESTINATIONS,Destination,Caribbean,CCC,204,caribbean|caribbean islands|caribbean holiday|caribbean vacation|the caribbean
DESTINATIONS,Destination,Antigua,ATG,205,antigua|antigua and barbuda|antigua island|antigua holiday
DESTINATIONS,Destination,St Johns,'000013',206,st johns|st. john's|saint john's|st johns antigua|st. john's antigua
DESTINATIONS,Destination,Antigua East,'004213',207,antigua east|east antigua|eastern antigua
DESTINATIONS,Destination,Antigua West,'004214',208,antigua west|west antigua|western antigua
DESTINATIONS,Destination,Aruba,ABW,209,aruba|aruba island|aruba holiday|aruba vacation
DESTINATIONS,Destination,Oranjestad,'001984',210,oranjestad|oranjestad aruba
DESTINATIONS,Destination,Bahamas,BHS,211,bahamas|the bahamas|bahamas islands|bahamas holiday
DESTINATIONS,Destination,Barbados,BRB,212,barbados|barbados island|barbados holiday|barbados vacation
DESTINATIONS,Destination,Bridgetown,'000719',213,bridgetown|bridgetown barbados
DESTINATIONS,Destination,Christchurch,'000721',214,christchurch|christ church|christ church barbados
DESTINATIONS,Destination,Dover Beach,'004400',215,dover beach|dover beach barbados|dover barbados
DESTINATIONS,Destination,Hastings,'000722',217,hastings|hastings barbados
DESTINATIONS,Destination,Maxwell,'001484',218,maxwell|maxwell barbados
DESTINATIONS,Destination,Needhams Point,'007946',219,needhams point|needham's point|needhams point barbados
DESTINATIONS,Destination,Oistins,L51082,220,oistins|oistins barbados
DESTINATIONS,Destination,Rockley,'001986',221,rockley|rockley beach|rockley barbados
DESTINATIONS,Destination,St James,'000725',222,st james|st. james|saint james|st james barbados
DESTINATIONS,Destination,St Lawrence,'001182',223,st lawrence|st. lawrence|saint lawrence|st lawrence gap|st. lawrence gap
DESTINATIONS,Destination,St Peter,'000012',224,st peter|st. peter|saint peter|st peter barbados
DESTINATIONS,Destination,St Philip,'000727',225,st philip|st. philip|saint philip|st philip barbados
DESTINATIONS,Destination,West Coast,'004204',226,west coast|barbados west coast|west coast barbados
DESTINATIONS,Destination,Worthing,'001252',227,worthing|worthing barbados|worthing beach
DESTINATIONS,Destination,Bonaire,BES,228,bonaire|bonaire island|bonaire holiday
DESTINATIONS,Destination,Kralendijk,L27691,229,kralendijk|kralendijk bonaire
DESTINATIONS,Destination,British Virgin Islands,VGB,230,british virgin islands|bvi|british virgins
DESTINATIONS,Destination,Road Town,L01211,231,road town|road town tortola|road town bvi
DESTINATIONS,Destination,Cuba,CUB,232,cuba|cuba holiday|cuba vacation|visit cuba
DESTINATIONS,Destination,Curacao,CUW,233,curacao|curaçao|curacao island|curaçao island
DESTINATIONS,Destination,Willemstad,L15621,234,willemstad|willemstad curacao|willemstad curaçao
DESTINATIONS,Destination,Dominica,DMC,235,dominica|dominica island|dominica holiday
DESTINATIONS,Destination,Roseau,'003907',236,roseau|roseau dominica
DESTINATIONS,Destination,Dominican Republic,DOM,237,dominican republic|dominican rep|dr (dominican republic)|dom rep
DESTINATIONS,Destination,Bayahibe,'002225',239,bayahibe|bayahibe dominican republic
DESTINATIONS,Destination,San Pedro de Macoris,'007526',240,san pedro de macoris|san pedro de macorís|san pedro de macoris dr
DESTINATIONS,Destination,La Romana City,L66491,241,la romana city|la romana town|la romana city centre|la romana city center
DESTINATIONS,Destination,Punta Cana,'001451',242,punta cana|punta cana dr|puntacana
DESTINATIONS,Destination,Bavaro,'001312',243,bavaro|bávaro|bavaro beach|bavaro punta cana
DESTINATIONS,Destination,Cap Cana,'008886',244,cap cana|capcana|cap cana punta cana
DESTINATIONS,Destination,Miches,L69622,245,miches|miches dominican republic
DESTINATIONS,Destination,Uvero Alto,'007766',246,uvero alto|uvero alto punta cana|uvero alto dr
DESTINATIONS,Destination,Samana,'003767',247,samana|samaná|samana peninsula|samaná peninsula
DESTINATIONS,Destination,Santo Domingo,'000838',248,santo domingo|santo domingo city|santo domingo dr
DESTINATIONS,Destination,Isla Catalina,L01562,249,isla catalina|catalina island (dr)|isla catalina dr
DESTINATIONS,Destination,La Romana,'001545',250,la romana|la romana dr|la romana dominican republic
DESTINATIONS,Destination,Grenada,GRD,251,grenada|grenada island|grenada holiday
DESTINATIONS,Destination,Morne Rouge,L59622,252,morne rouge|morne rouge beach|morne rouge grenada
DESTINATIONS,Destination,Point Salines,L56242,253,point salines|point salines grenada
DESTINATIONS,Destination,St Georges,'002049',254,st georges|st. george's|saint george's|st georges grenada|st. george's grenada
DESTINATIONS,Destination,The Lime,L59305,255,the lime|the lime grenada
DESTINATIONS,Destination,True Blue,'003850',256,true blue|true blue bay|true blue grenada
DESTINATIONS,Destination,Victoria,L68242,257,
DESTINATIONS,Destination,Guadeloupe,GLP,258,guadeloupe|guadeloupe island|guadeloupe holiday
DESTINATIONS,Destination,Pointe-A-Pitre,L01215,259,pointe-a-pitre|pointe-à-pitre|pointe a pitre|pointe-a-pitre guadeloupe
DESTINATIONS,Destination,Jamaica,JAM,260,jamaica|jamaica holiday|jamaica vacation|visit jamaica
DESTINATIONS,Destination,Negril (Green Island),L65367,261,negril (green island)|green island jamaica|negril green island
DESTINATIONS,Destination,Lucea,'006486',262,lucea|lucea jamaica
DESTINATIONS,Destination,Montego Bay,'000534',263,montego bay|mobay|montego bay jamaica
DESTINATIONS,Destination,Negril,'000535',264,negril|negril jamaica|negril beach
DESTINATIONS,Destination,Ocho Rios,'000182',265,ocho rios|ocho rios jamaica|ochi
DESTINATIONS,Destination,Runaway Bay,'000149',266,runaway bay|runaway bay jamaica
DESTINATIONS,Destination,Trelawny,'002317',267,trelawny|trelawny jamaica
DESTINATIONS,Destination,Martinique,MTQ,268,martinique|martinique island|martinique holiday
DESTINATIONS,Destination,Fort De France,'006233',269,fort-de-france|fort de france|fort de france martinique
DESTINATIONS,Destination,Puerto Rico,PRI,270,puerto rico|pr (puerto rico)|puerto rico island
DESTINATIONS,Destination,San Juan,L46050,271,san juan|san juan puerto rico|san juan pr
DESTINATIONS,Destination,Ponce,L49722,272,ponce|ponce puerto rico|ponce pr
DESTINATIONS,Destination,St Kitts and Nevis,KNA,273,st kitts and nevis|st. kitts and nevis|saint kitts and nevis|st kitts & nevis
DESTINATIONS,Destination,St Kitts,'000382',274,st kitts|st. kitts|saint kitts
DESTINATIONS,Destination,Basseterre,'001218',275,basseterre|basseterre st kitts|basseterre saint kitts
DESTINATIONS,Destination,St Lucia,LCA,276,st lucia|st. lucia|saint lucia|st lucia holiday
DESTINATIONS,Destination,Castries,'001181',277,castries|castries st lucia|castries saint lucia
DESTINATIONS,Destination,Corinth,L44385,278,corinth st lucia|corinth saint lucia
DESTINATIONS,Destination,Gros Islet,L62024,279,gros islet|gros islet st lucia|gros islet saint lucia
DESTINATIONS,Destination,Marigot Bay,L56722,280,marigot bay|marigot bay st lucia|marigot bay saint lucia
DESTINATIONS,Destination,Rodney Bay,'002142',281,rodney bay|rodney bay st lucia|rodney bay village
DESTINATIONS,Destination,Smugglers Cove,L44383,282,smugglers cove st lucia|smuggler's cove st lucia
DESTINATIONS,Destination,Soufriere,'000391',283,soufriere|soufrière|soufriere st lucia|soufrière st lucia
DESTINATIONS,Destination,St Lucia North,L48743,284,st lucia north|north st lucia|northern st lucia
DESTINATIONS,Destination,St Lucia South,L48741,285,st lucia south|south st lucia|southern st lucia
DESTINATIONS,Destination,Vieux Fort,'003848',286,vieux fort|vieux fort st lucia|vieux fort saint lucia
DESTINATIONS,Destination,St Maarten,SMT,287,st maarten|st. maarten|saint martin (dutch side)|sint maarten
DESTINATIONS,Destination,Philipsburg,L01218,288,philipsburg|philipsburg st maarten|philipsburg sint maarten
DESTINATIONS,Destination,St Vincent and the Grenadines,VCT,289,st vincent and the grenadines|st. vincent and the grenadines|saint vincent and the grenadines|svg (st vincent and the grenadines)
DESTINATIONS,Destination,St Vincent,L01221,290,st vincent|st. vincent|saint vincent
DESTINATIONS,Destination,Kingstown,L15663,291,kingstown|kingstown st vincent|kingstown saint vincent
DESTINATIONS,Destination,Grenadines,'002365',292,grenadines|the grenadines|st vincent grenadines
DESTINATIONS,Destination,Bequia,'004263',293,bequia|bequia island
DESTINATIONS,Destination,Trinidad and Tobago,TTO,294,trinidad and tobago|trinidad & tobago|t&t|trinidad tobago
DESTINATIONS,Destination,Tobago,'000111',295,tobago|tobago island|tobago holiday
DESTINATIONS,Destination,Scarborough,CL0392,296,scarborough tobago|scarborough (tobago)|scarborough trinidad and tobago
DESTINATIONS,Destination,US Virgin Islands,VIR,297,us virgin islands|u.s. virgin islands|united states virgin islands|usvi
DESTINATIONS,Destination,Charlotte Amalie,L57182,298,charlotte amalie|charlotte amalie st thomas|charlotte amalie us virgin islands
DESTINATIONS,Destination,Frederiksted,L57193,299,frederiksted|frederiksted st croix|frederiksted us virgin islands
DESTINATIONS,Destination,Central America,FFF,300,central america|central american|central america holiday
DESTINATIONS,Destination,Mexico,MEX,301,mexico|mexico holiday|mexico vacation|visit mexico
DESTINATIONS,Destination,Guadalajara,L49461,302,guadalajara|guadalajara mexico
DESTINATIONS,Destination,Mexico - Caribbean Coast,'000577',303,mexico caribbean coast|mexican caribbean|caribbean coast of mexico|mexico riviera maya|cancun area|yucatan caribbean coast
DESTINATIONS,Destination,Akumal,L67522,304,"akumal|akumal mexico|akumal, mexico"
DESTINATIONS,Destination,Cancun,'001227',305,"cancun|cancún|cancun mexico|cancún mexico|cancun, mexico"
DESTINATIONS,Destination,Costa Mujeres,L55165,306,"costa mujeres|costa mujeres mexico|costa mujeres, mexico"
DESTINATIONS,Destination,Cozumel,'004668',307,"cozumel|cozumel mexico|cozumel, mexico"
DESTINATIONS,Destination,El Cuyo,L65465,308,"el cuyo|el cuyo mexico|el cuyo, mexico"
DESTINATIONS,Destination,Isla Holbox,L48541,309,isla holbox|holbox|holbox island|isla holbox mexico|holbox mexico
DESTINATIONS,Destination,Isla Mujeres,'004267',310,"isla mujeres|isla mujeres mexico|isla mujeres, mexico|mujeres island"
DESTINATIONS,Destination,Playa Mujeres,'007126',311,"playa mujeres|playa mujeres mexico|playa mujeres, mexico"
DESTINATIONS,Destination,Playa Paraiso Mexico,'002109',312,playa paraiso|playa paraíso|playa paraiso mexico|playa paraíso mexico
DESTINATIONS,Destination,Playa del Carmen,'002648',313,"playa del carmen|playa del carmen mexico|playa del carmen, mexico|playa del carmen (riviera maya)|playa del carmen (mexico)"
DESTINATIONS,Destination,Playacar,'001245',314,"playacar|playacar mexico|playacar, mexico|playacar (playa del carmen)"
DESTINATIONS,Destination,Puerto Morelos,'004268',315,"puerto morelos|puerto morelos mexico|puerto morelos, mexico"
DESTINATIONS,Destination,Riviera Maya,'001696',316,"riviera maya|mayan riviera|riviera maya mexico|riviera maya, mexico"
DESTINATIONS,Destination,Tulum,'005546',317,"tulum|tulum mexico|tulum, mexico"
DESTINATIONS,Destination,Mexico - Pacific Coast,'001233',318,mexico pacific coast|pacific coast of mexico|mexico's pacific coast|mexican pacific coast
DESTINATIONS,Destination,Puerto Vallarta,'001238',319,"puerto vallarta|puerto vallarta mexico|puerto vallarta, mexico|pto vallarta|p. vallarta"
