﻿filterId,filterName,optionName,optionId,ID
DESTINATIONS,Destination,North Goa,L00489,123
DESTINATIONS,Destination,Arpora,'003869',124
DESTINATIONS,Destination,Baga,'001917',125
DESTINATIONS,Destination,Bambolim,'003842',126
DESTINATIONS,Destination,Calangute,'001914',127
DESTINATIONS,Destination,Candolim,'001361',128
DESTINATIONS,Destination,Dona Paula,'003843',129
DESTINATIONS,Destination,Panjim,'001951',130
DESTINATIONS,Destination,Sinquerim,'003844',131
DESTINATIONS,Destination,Vagator,L65962,132
DESTINATIONS,Destination,Indonesia,IDN,133
DESTINATIONS,Destination,Bali Beach,L49601,135
DESTINATIONS,Destination,Ubud,'002052',136
DESTINATIONS,Destination,Seminyak,'004272',137
DESTINATIONS,Destination,Sanur,'000632',138
DESTINATIONS,Destination,Lombok,'000635',139
DESTINATIONS,Destination,Japan,JPN,140
DESTINATIONS,Destination,Furano,L66243,141
DESTINATIONS,Destination,Tomamu,L66302,142
DESTINATIONS,Destination,Tokyo,'003471',143
DESTINATIONS,Destination,Jordan,JOR,144
DESTINATIONS,Destination,Malaysia,MYS,145
DESTINATIONS,Destination,Maldives,MDV,146
DESTINATIONS,Destination,Oman,OMN,147
DESTINATIONS,Destination,Muscat,L59943,148
DESTINATIONS,Destination,Saiq,L66045,149
DESTINATIONS,Destination,Qatar,QAT,150
DESTINATIONS,Destination,Doha,'003994',151
DESTINATIONS,Destination,Singapore,SGP,152
DESTINATIONS,Destination,South Korea,KOR,153
DESTINATIONS,Destination,Sri Lanka,LKA,154
DESTINATIONS,Destination,Ahungalla,'001959',155
DESTINATIONS,Destination,Batigama,L68103,156
DESTINATIONS,Destination,Bentota,'001619',157
DESTINATIONS,Destination,Beruwala,'000379',158
DESTINATIONS,Destination,Colombo,'001447',159
DESTINATIONS,Destination,Hikkaduwa,'001960',160
DESTINATIONS,Destination,Kalutara,'001567',161
DESTINATIONS,Destination,Kuchchaveli,L68263,162
DESTINATIONS,Destination,Negombo,'001621',163
DESTINATIONS,Destination,Pasikuda,L68262,164
DESTINATIONS,Destination,Trincomalee,'002728',165
DESTINATIONS,Destination,Wadduwa,'001624',166
DESTINATIONS,Destination,Waikkal,'001620',167
DESTINATIONS,Destination,Thailand,THA,168
DESTINATIONS,Destination,Bangkok,'000424',169
DESTINATIONS,Destination,Khao Lak,'002378',170
DESTINATIONS,Destination,Phuket,'000428',171
DESTINATIONS,Destination,Bang Tao,L27404,172
DESTINATIONS,Destination,Cape Panwa,CMS084,173
DESTINATIONS,Destination,Coconut Island,L39461,174
DESTINATIONS,Destination,Kalim Beach,L68564,175
DESTINATIONS,Destination,Kamala Beach,L27403,176
DESTINATIONS,Destination,Karon Beach,CMS086,177
DESTINATIONS,Destination,Kata Beach,CMS087,178
DESTINATIONS,Destination,Mai Khao,L27405,179
DESTINATIONS,Destination,Nai Harn,L42241,180
DESTINATIONS,Destination,Nai Thon Beach,L27515,181
DESTINATIONS,Destination,Nai-Yang Beach,CMS083,182
DESTINATIONS,Destination,Natai Beach,L68563,183
DESTINATIONS,Destination,Patong Beach,'001543',184
DESTINATIONS,Destination,Phi Phi,'002609',185
DESTINATIONS,Destination,Surin Beach,L68566,186
DESTINATIONS,Destination,Tri Trang Beach,CMS085,187
DESTINATIONS,Destination,Rawai,L71990,188
DESTINATIONS,Destination,Krabi,'002096',189
DESTINATIONS,Destination,Koh Samui,'002101',190
DESTINATIONS,Destination,Hua Hin,'000425',191
DESTINATIONS,Destination,Pattaya,'000427',192
DESTINATIONS,Destination,Krabi Khao Lak or Phuket,L69205,193
DESTINATIONS,Destination,United Arab Emirates,ARE,194
DESTINATIONS,Destination,Dubai,'001375',195
DESTINATIONS,Destination,Abu Dhabi,'001372',196
DESTINATIONS,Destination,Ajman,'003987',197
DESTINATIONS,Destination,Ras Al Khaimah,'001370',198
DESTINATIONS,Destination,UAE Beach,L56663,199
DESTINATIONS,Destination,Dubai City,'004020',200
DESTINATIONS,Destination,Yas Island,L46785,201
DESTINATIONS,Destination,Desert Resort,L68442,202
DESTINATIONS,Destination,Vietnam,VNM,203
DESTINATIONS,Destination,Caribbean,CCC,204
DESTINATIONS,Destination,Antigua,ATG,205
DESTINATIONS,Destination,St Johns,'000013',206
DESTINATIONS,Destination,Antigua East,'004213',207
DESTINATIONS,Destination,Antigua West,'004214',208
DESTINATIONS,Destination,Aruba,ABW,209
DESTINATIONS,Destination,Oranjestad,'001984',210
DESTINATIONS,Destination,Bahamas,BHS,211
DESTINATIONS,Destination,Barbados,BRB,212
DESTINATIONS,Destination,Bridgetown,'000719',213
DESTINATIONS,Destination,Christchurch,'000721',214
DESTINATIONS,Destination,Dover Beach,'004400',215
DESTINATIONS,Destination,Hastings,'000722',217
DESTINATIONS,Destination,Maxwell,'001484',218
DESTINATIONS,Destination,Needhams Point,'007946',219
DESTINATIONS,Destination,Oistins,L51082,220
DESTINATIONS,Destination,Rockley,'001986',221
DESTINATIONS,Destination,St James,'000725',222
DESTINATIONS,Destination,St Lawrence,'001182',223
DESTINATIONS,Destination,St Peter,'000012',224
DESTINATIONS,Destination,St Philip,'000727',225
DESTINATIONS,Destination,West Coast,'004204',226
DESTINATIONS,Destination,Worthing,'001252',227
DESTINATIONS,Destination,Bonaire,BES,228
DESTINATIONS,Destination,Kralendijk,L27691,229
DESTINATIONS,Destination,British Virgin Islands,VGB,230
DESTINATIONS,Destination,Road Town,L01211,231
DESTINATIONS,Destination,Cuba,CUB,232
DESTINATIONS,Destination,Curacao,CUW,233
DESTINATIONS,Destination,Willemstad,L15621,234
DESTINATIONS,Destination,Dominica,DMC,235
DESTINATIONS,Destination,Roseau,'003907',236
DESTINATIONS,Destination,Dominican Republic,DOM,237
DESTINATIONS,Destination,Bayahibe,'002225',239
DESTINATIONS,Destination,San Pedro de Macoris,'007526',240
DESTINATIONS,Destination,La Romana City,L66491,241
DESTINATIONS,Destination,Punta Cana,'001451',242
DESTINATIONS,Destination,Bavaro,'001312',243
DESTINATIONS,Destination,Cap Cana,'008886',244
DESTINATIONS,Destination,Miches,L69622,245
DESTINATIONS,Destination,Uvero Alto,'007766',246
DESTINATIONS,Destination,Samana,'003767',247
DESTINATIONS,Destination,Santo Domingo,'000838',248
DESTINATIONS,Destination,Isla Catalina,L01562,249
DESTINATIONS,Destination,La Romana,'001545',250
DESTINATIONS,Destination,Grenada,GRD,251
DESTINATIONS,Destination,Morne Rouge,L59622,252
DESTINATIONS,Destination,Point Salines,L56242,253
DESTINATIONS,Destination,St Georges,'002049',254
DESTINATIONS,Destination,The Lime,L59305,255
DESTINATIONS,Destination,True Blue,'003850',256
DESTINATIONS,Destination,Victoria,L68242,257
DESTINATIONS,Destination,Guadeloupe,GLP,258
DESTINATIONS,Destination,Pointe-A-Pitre,L01215,259
DESTINATIONS,Destination,Jamaica,JAM,260
DESTINATIONS,Destination,Negril (Green Island),L65367,261
DESTINATIONS,Destination,Lucea,'006486',262
DESTINATIONS,Destination,Montego Bay,'000534',263
DESTINATIONS,Destination,Negril,'000535',264
DESTINATIONS,Destination,Ocho Rios,'000182',265
DESTINATIONS,Destination,Runaway Bay,'000149',266
DESTINATIONS,Destination,Trelawny,'002317',267
DESTINATIONS,Destination,Martinique,MTQ,268
DESTINATIONS,Destination,Fort De France,'006233',269
DESTINATIONS,Destination,Puerto Rico,PRI,270
DESTINATIONS,Destination,San Juan,L46050,271
DESTINATIONS,Destination,Ponce,L49722,272
DESTINATIONS,Destination,St Kitts and Nevis,KNA,273
DESTINATIONS,Destination,St Kitts,'000382',274
DESTINATIONS,Destination,Basseterre,'001218',275
DESTINATIONS,Destination,St Lucia,LCA,276
DESTINATIONS,Destination,Castries,'001181',277
DESTINATIONS,Destination,Corinth,L44385,278
DESTINATIONS,Destination,Gros Islet,L62024,279
DESTINATIONS,Destination,Marigot Bay,L56722,280
DESTINATIONS,Destination,Rodney Bay,'002142',281
DESTINATIONS,Destination,Smugglers Cove,L44383,282
DESTINATIONS,Destination,Soufriere,'000391',283
DESTINATIONS,Destination,St Lucia North,L48743,284
DESTINATIONS,Destination,St Lucia South,L48741,285
DESTINATIONS,Destination,Vieux Fort,'003848',286
DESTINATIONS,Destination,St Maarten,SMT,287
DESTINATIONS,Destination,Philipsburg,L01218,288
DESTINATIONS,Destination,St Vincent and the Grenadines,VCT,289
DESTINATIONS,Destination,St Vincent,L01221,290
DESTINATIONS,Destination,Kingstown,L15663,291
DESTINATIONS,Destination,Grenadines,'002365',292
DESTINATIONS,Destination,Bequia,'004263',293
DESTINATIONS,Destination,Trinidad and Tobago,TTO,294
DESTINATIONS,Destination,Tobago,'000111',295
DESTINATIONS,Destination,Scarborough,CL0392,296
DESTINATIONS,Destination,US Virgin Islands,VIR,297
DESTINATIONS,Destination,Charlotte Amalie,L57182,298
DESTINATIONS,Destination,Frederiksted,L57193,299
DESTINATIONS,Destination,Central America,FFF,300
DESTINATIONS,Destination,Mexico,MEX,301
DESTINATIONS,Destination,Guadalajara,L49461,302
DESTINATIONS,Destination,Mexico - Caribbean Coast,'000577',303
DESTINATIONS,Destination,Akumal,L67522,304
DESTINATIONS,Destination,Cancun,'001227',305
DESTINATIONS,Destination,Costa Mujeres,L55165,306
DESTINATIONS,Destination,Cozumel,'004668',307
DESTINATIONS,Destination,El Cuyo,L65465,308
DESTINATIONS,Destination,Isla Holbox,L48541,309
DESTINATIONS,Destination,Isla Mujeres,'004267',310
DESTINATIONS,Destination,Playa Mujeres,'007126',311
DESTINATIONS,Destination,Playa Paraiso Mexico,'002109',312
DESTINATIONS,Destination,Playa del Carmen,'002648',313
DESTINATIONS,Destination,Playacar,'001245',314
DESTINATIONS,Destination,Puerto Morelos,'004268',315
DESTINATIONS,Destination,Riviera Maya,'001696',316
DESTINATIONS,Destination,Tulum,'005546',317
DESTINATIONS,Destination,Mexico - Pacific Coast,'001233',318
DESTINATIONS,Destination,Puerto Vallarta,'001238',319
DESTINATIONS,Destination,Nuevo Vallarta,'001469',320
DESTINATIONS,Destination,Mexico City,'002108',321
DESTINATIONS,Destination,Costa Rica,CRI,322
DESTINATIONS,Destination,Europe,EEE,323
DESTINATIONS,Destination,Albania,ALB,324
DESTINATIONS,Destination,Durres,CMS035,325
DESTINATIONS,Destination,Tirana,L64442,326
DESTINATIONS,Destination,Andorra,AND,327
DESTINATIONS,Destination,Arinsal,'000171',328
DESTINATIONS,Destination,El Tarter,'001464',329
DESTINATIONS,Destination,Pas de la Casa,'001231',330
DESTINATIONS,Destination,Soldeu,L57824,331
DESTINATIONS,Destination,La Massana,'001548',332
DESTINATIONS,Destination,Austria,AUT,333
DESTINATIONS,Destination,Achensee,'002428',334
DESTINATIONS,Destination,Alpbach,'000752',335
DESTINATIONS,Destination,Bad Gastein,'000956',336
DESTINATIONS,Destination,Bad Hofgastein,'001136',337
DESTINATIONS,Destination,Durnstein,L53312,338
DESTINATIONS,Destination,Ellmau,'000954',339
DESTINATIONS,Destination,Fügen,'004181',340
DESTINATIONS,Destination,Fieberbrunn,'003873',341
DESTINATIONS,Destination,Filzmoos,L71664,342
DESTINATIONS,Destination,Galtür,'000958',343
DESTINATIONS,Destination,Gerlos,L70971,344
DESTINATIONS,Destination,Grein,L66704,345
DESTINATIONS,Destination,Hinterglemm,'000961',346
DESTINATIONS,Destination,Hochgurgl,'001538',347
DESTINATIONS,Destination,Hochsölden,'000963',348
DESTINATIONS,Destination,Igls,'006906',349
DESTINATIONS,Destination,Innsbruck,'000964',350
DESTINATIONS,Destination,Ischgl,'000966',351
DESTINATIONS,Destination,Kaprun,'000968',352
DESTINATIONS,Destination,Katschberg,'001155',353
DESTINATIONS,Destination,Kirchberg,'000969',354
DESTINATIONS,Destination,Kitzbühel,'000970',355
DESTINATIONS,Destination,Krems,L53311,356
DESTINATIONS,Destination,Lech,'000971',357
DESTINATIONS,Destination,Leogang,L68345,358
DESTINATIONS,Destination,Linz,'001118',359
DESTINATIONS,Destination,Mayrhofen,'000973',360
DESTINATIONS,Destination,Melk,L53313,361
DESTINATIONS,Destination,Millstatt,'002650',362
DESTINATIONS,Destination,Montafon,L23803,363
DESTINATIONS,Destination,Nassfeld,'003975',364
DESTINATIONS,Destination,Nauders,L36161,365
DESTINATIONS,Destination,Neustift,'002440',366
DESTINATIONS,Destination,Niederau,'000974',367
DESTINATIONS,Destination,Obergurgl,'000976',368
DESTINATIONS,Destination,Obertauern,'000977',369
DESTINATIONS,Destination,Ramsau im Zillertal,'004271',370
DESTINATIONS,Destination,Rauris,'002434',371
DESTINATIONS,Destination,Reith im Alpbachtal,L62282,372
DESTINATIONS,Destination,Sölden,'000989',373
DESTINATIONS,Destination,Söll,'000991',374
DESTINATIONS,Destination,Saalbach,'000980',375
DESTINATIONS,Destination,Salzburg,'001115',376
DESTINATIONS,Destination,Schladming,'000984',377
DESTINATIONS,Destination,Seefeld,'000988',378
DESTINATIONS,Destination,Serfaus-Fiss-Ladis,'004247',379
DESTINATIONS,Destination,St Anton,'000993',380
DESTINATIONS,Destination,St Christoph,'002668',381
DESTINATIONS,Destination,St Gilgen,'000994',382
DESTINATIONS,Destination,St Johann in Tyrol,'000990',383
DESTINATIONS,Destination,St Wolfgang,'000196',384
DESTINATIONS,Destination,Vienna,'000985',385
DESTINATIONS,Destination,Wagrain,'000983',386
DESTINATIONS,Destination,Weissenkirchen,L56902,387
DESTINATIONS,Destination,Zürs,'002445',388
DESTINATIONS,Destination,Zell am See,'000978',389
DESTINATIONS,Destination,Belgium,BEL,390
DESTINATIONS,Destination,Antwerp,'001519',391
DESTINATIONS,Destination,Brussels,'000733',392
DESTINATIONS,Destination,Ghent,'001518',393
DESTINATIONS,Destination,Bulgaria,BGR,394
DESTINATIONS,Destination,Bansko,'002771',395
DESTINATIONS,Destination,Borovets,'001675',396
DESTINATIONS,Destination,Bourgas Region,'002682',397
DESTINATIONS,Destination,Bourgas,L35681,398
DESTINATIONS,Destination,Nessebar,'002529',399
DESTINATIONS,Destination,Obzor,'002911',400
DESTINATIONS,Destination,Pomorie,'002530',401
DESTINATIONS,Destination,Primorsko,'002764',402
DESTINATIONS,Destination,Sozopol,'002652',403
DESTINATIONS,Destination,St Vlas,'003660',404
DESTINATIONS,Destination,Sunny Beach,'002548',405
DESTINATIONS,Destination,Tsarevo,L45941,406
DESTINATIONS,Destination,Pamporovo,'002498',407
DESTINATIONS,Destination,Sofia,L64443,408
DESTINATIONS,Destination,Vidin,L56909,409
DESTINATIONS,Destination,Croatia,HRV,410
DESTINATIONS,Destination,Dalmatian Coast and Islands,L24947,411
DESTINATIONS,Destination,Baska Voda,'002536',412
DESTINATIONS,Destination,Brac Island,'002946',413
DESTINATIONS,Destination,Brela,'002654',414
DESTINATIONS,Destination,Donji Seget,L71045,415
DESTINATIONS,Destination,Hvar,'002537',416
DESTINATIONS,Destination,Igrane,L38101,417
DESTINATIONS,Destination,Makarska,'002495',418
DESTINATIONS,Destination,Omis,'006128',419
DESTINATIONS,Destination,Podgora,'003554',420
DESTINATIONS,Destination,Podstrana,'008726',421
DESTINATIONS,Destination,Sibenik,'003999',422
DESTINATIONS,Destination,Split,'002636',423
DESTINATIONS,Destination,Trogir,'002543',424
DESTINATIONS,Destination,Tucepi,'002535',425
DESTINATIONS,Destination,Dubrovnik and Islands,'002925',426
DESTINATIONS,Destination,Cavtat,'000464',427
DESTINATIONS,Destination,Dubrovnik,'000465',428
DESTINATIONS,Destination,Kolocep,'002753',429
DESTINATIONS,Destination,Korcula,'002533',430
DESTINATIONS,Destination,Lopud Island,'002843',431
DESTINATIONS,Destination,Mlini,'002532',432
DESTINATIONS,Destination,Mljet,'002751',433
DESTINATIONS,Destination,Orasac,'004383',434
DESTINATIONS,Destination,Orebic,'002534',435
DESTINATIONS,Destination,Plat,'002653',436
DESTINATIONS,Destination,Slano,'002750',437
DESTINATIONS,Destination,Srebreno,L36961,438
DESTINATIONS,Destination,Zaton Mali,'002934',439
DESTINATIONS,Destination,Sipan Island,L50784,440
DESTINATIONS,Destination,Istrian Riviera,'002937',441
DESTINATIONS,Destination,Buje,L62596,442
DESTINATIONS,Destination,Lovran,'001507',443
DESTINATIONS,Destination,Medulin,'002656',444
DESTINATIONS,Destination,Novigrad,'000469',445
DESTINATIONS,Destination,Opatija,'001508',446
DESTINATIONS,Destination,Porec,'000471',447
DESTINATIONS,Destination,Pula,'002655',448
DESTINATIONS,Destination,Rabac,'000472',449
DESTINATIONS,Destination,Rovinj,'001506',450
DESTINATIONS,Destination,Umag,'002547',451
DESTINATIONS,Destination,Vrsar,'002546',452
DESTINATIONS,Destination,Kvarner Bay,'002943',453
DESTINATIONS,Destination,Rijeka,L34763,454
DESTINATIONS,Destination,Crikvenica,L65369,455
DESTINATIONS,Destination,Krk Island,'002944',456
DESTINATIONS,Destination,Osijek,L56903,457
DESTINATIONS,Destination,Vukovar,L53303,458
DESTINATIONS,Destination,Zadar,CMS027,459
DESTINATIONS,Destination,Zagreb,L62246,460
DESTINATIONS,Destination,Cyprus,CYP,461
DESTINATIONS,Destination,Larnaca Area,'000791',462
DESTINATIONS,Destination,Ayia Napa,'000792',463
DESTINATIONS,Destination,Nissi Beach,'002585',464
DESTINATIONS,Destination,Protaras,'000806',465
DESTINATIONS,Destination,Alaminos,'008746',466
DESTINATIONS,Destination,Larnaca,'000796',467
DESTINATIONS,Destination,Pernera,L38021,468
DESTINATIONS,Destination,Paphos Area,'001443',469
DESTINATIONS,Destination,Amathus Bay,'005646',470
DESTINATIONS,Destination,Aphrodite Hills,'003997',471
DESTINATIONS,Destination,Chlorakas,L49421,472
DESTINATIONS,Destination,Coral Bay,'001616',473
DESTINATIONS,Destination,Kissonerga,L61062,474
DESTINATIONS,Destination,Latchi,'001342',475
DESTINATIONS,Destination,Limassol,'000798',476
DESTINATIONS,Destination,Paphos,'000799',477
DESTINATIONS,Destination,Pareklisia,L67262,478
DESTINATIONS,Destination,Pissouri,'002017',479
DESTINATIONS,Destination,Polis,'001341',480
DESTINATIONS,Destination,Pomos,'003982',481
DESTINATIONS,Destination,Czech Republic,CZE,482
DESTINATIONS,Destination,Prague,'000815',483
DESTINATIONS,Destination,Denmark,DNK,484
DESTINATIONS,Destination,Copenhagen,'000821',485
DESTINATIONS,Destination,Estonia,EST,486
DESTINATIONS,Destination,Tallinn,'002825',487
DESTINATIONS,Destination,Finland,FIN,488
DESTINATIONS,Destination,Helsinki,'002824',489
DESTINATIONS,Destination,France,FRA,490
DESTINATIONS,Destination,Évian,'002460',491
DESTINATIONS,Destination,Aix-en-Provence,'003132',492
DESTINATIONS,Destination,Alpe dHuez,'000870',493
DESTINATIONS,Destination,Auris En Oisans,L40161,494
DESTINATIONS,Destination,Avignon,'003445',495
DESTINATIONS,Destination,Avoriaz,'000181',496
DESTINATIONS,Destination,Biarritz,'002879',497
DESTINATIONS,Destination,Bordeaux,'000888',498
DESTINATIONS,Destination,Bourg-Saint-Maurice,L62003,499
DESTINATIONS,Destination,Brides-les-Bains,'002456',500
DESTINATIONS,Destination,Carcassonne,'003110',501
DESTINATIONS,Destination,Châtel,'000872',502
DESTINATIONS,Destination,Chamonix,'000192',503
DESTINATIONS,Destination,Corsica,'002633',504
DESTINATIONS,Destination,Ajaccio,'002634',505
DESTINATIONS,Destination,Calvi,'002884',506
DESTINATIONS,Destination,Propriano,'003063',507
DESTINATIONS,Destination,Courchevel,'001365',508
DESTINATIONS,Destination,Flaine,'000874',509
DESTINATIONS,Destination,French Riviera,'001441',510
DESTINATIONS,Destination,Cannes,'001422',511
DESTINATIONS,Destination,Nice,'000890',512
DESTINATIONS,Destination,Huningue (for Basel),L71642,513
DESTINATIONS,Destination,La Clusaz,'002457',514
DESTINATIONS,Destination,La Plagne,'001140',515
DESTINATIONS,Destination,La Rosière,'002458',516
DESTINATIONS,Destination,La Tania,'001250',517
DESTINATIONS,Destination,La Toussuire,L20149,518
DESTINATIONS,Destination,Lake Annecy,'002453',519
DESTINATIONS,Destination,Le Corbier,L62342,520
DESTINATIONS,Destination,Les Arcs,'001357',521
DESTINATIONS,Destination,Les Deux Alpes,'000878',522
DESTINATIONS,Destination,Les Gets,'004077',523
DESTINATIONS,Destination,Les Menuires,'001219',524
DESTINATIONS,Destination,Lyon,'001599',525
DESTINATIONS,Destination,Méribel,'005331',526
DESTINATIONS,Destination,Marseille,'002696',527
DESTINATIONS,Destination,Marseille (for Provence),L70995,528
DESTINATIONS,Destination,Megève,'001627',529
DESTINATIONS,Destination,Montalbert,L72362,530
DESTINATIONS,Destination,Montgenèvre,'000884',531
DESTINATIONS,Destination,Montpellier,'002694',532
DESTINATIONS,Destination,Morzine,'000886',533
DESTINATIONS,Destination,Mottaret,'005332',534
DESTINATIONS,Destination,Paris,'000108',535
DESTINATIONS,Destination,Risoul,'000892',536
DESTINATIONS,Destination,Sainte-Foy,'003885',537
DESTINATIONS,Destination,Samoëns,L20481,538
DESTINATIONS,Destination,Serre Chevalier,'001149',539
DESTINATIONS,Destination,St Gervais,L69023,540
DESTINATIONS,Destination,St-Sorlin-dArves,L65382,541
DESTINATIONS,Destination,Strasbourg,'003446',542
DESTINATIONS,Destination,Tignes,'000187',543
DESTINATIONS,Destination,Toulon (for the Cote dAzur),'003090',544
DESTINATIONS,Destination,Toulouse,'003447',545
DESTINATIONS,Destination,Val Cenis,'003886',546
DESTINATIONS,Destination,Val Thorens,'000119',547
DESTINATIONS,Destination,Val dIsère,'000145',548
DESTINATIONS,Destination,Valloire,'002773',549
DESTINATIONS,Destination,Valmeinier,'002774',550
